unity_time;FPS
0.000;71.71
0.100;90.21
0.200;94.99
0.300;95.90
0.400;93.84
0.500;97.93
0.600;92.92
0.700;85.10
0.800;86.36
0.900;92.33
1.000;95.49
1.100;95.82
1.200;87.40
1.300;80.31
1.400;79.86
1.500;78.68
1.600;74.52
1.700;82.51
1.800;86.20
1.900;85.65
2.000;90.92
2.100;99.01
2.200;110.84
2.300;103.22
2.400;103.74
2.500;107.09
2.600;91.17
2.700;79.07
2.800;64.75
2.900;56.56
3.000;50.64
3.100;44.30
3.200;44.24
3.300;69.43
3.400;90.20
3.500;98.63
3.600;101.64
3.700;87.41
3.800;82.86
3.900;74.02
4.000;67.67
4.100;75.64
4.200;69.29
4.300;70.94
4.400;83.95
4.500;87.42
4.600;92.52
4.700;92.64
4.800;90.32
4.900;95.04
5.000;84.24
5.100;86.27
5.200;74.30
5.300;94.04
5.400;89.68
5.500;76.39
5.600;65.76
5.700;66.53
5.800;62.39
5.900;80.35
6.000;79.89
6.100;87.10
6.200;73.56
6.300;75.68
6.400;79.38
6.500;84.34
6.600;86.05
6.700;85.39
6.800;91.13
6.900;89.06
7.000;94.10
7.100;91.49
7.200;87.77
7.300;79.20
7.400;78.81
7.500;76.90
7.600;68.83
7.700;63.58
7.800;64.10
7.900;65.63
8.000;71.65
8.100;87.43
8.200;94.46
8.300;100.03
8.400;96.62
8.500;98.70
8.600;84.54
8.700;73.14
8.800;60.31
8.900;58.53
9.000;68.42
9.100;80.57
9.200;82.43
9.300;77.10
9.400;78.57
9.500;90.14
9.600;86.06
9.700;85.02
9.800;88.74
9.900;84.62
10.000;91.14
10.100;90.22
10.200;91.09
10.300;94.19
10.400;90.53
10.500;78.11
10.600;81.00
10.700;90.59
10.800;94.75
10.900;94.09
11.000;78.70
11.100;74.78
11.200;84.93
11.300;95.72
11.400;94.84
11.500;85.63
11.600;81.04
11.700;82.91
11.800;85.44
11.900;76.34
12.000;69.76
12.100;66.55
12.200;81.28
12.300;93.37
12.400;94.88
12.500;95.13
12.600;92.50
12.700;83.54
12.800;80.78
12.900;82.40
13.000;85.03
13.100;91.44
13.200;96.66
13.300;96.10
