sim_time,vehicle_ids,pos_x,pos_y,pos_z
605.10,"f_10.76|f_10.75",19.25,11.96,0.0
626.90,"f_12.83|f_0.0",5.32,0.41,0.0
638.40,"f_12.84|f_0.0",6.24,-1.06,0.0
645.10,"f_10.78|f_10.75",19.25,11.96,0.0
648.00,"f_11.77|f_3.87",15.85,4.67,0.0
649.20,"f_12.84|f_0.0",6.24,-1.06,0.0
649.50,"f_0.0|f_12.85",6.64,-8.42,0.0
651.10,"f_0.0|f_12.85",6.92,-8.73,0.0
659.90,"f_3.89|f_0.0",7.89,7.79,0.0
660.20,"f_3.88|f_0.0",13.45,3.34,0.0
671.30,"f_12.86|f_0.0",-13.85,5.18,0.0
680.80,"f_11.77|f_3.90",15.85,4.67,0.0
685.10,"f_10.80|f_10.75",19.25,11.96,0.0
701.00,"f_11.77|f_3.92",15.85,4.67,0.0
