Time(s);RTF
0.00;0.00
0.10;0.98
0.20;1.03
0.30;0.99
0.40;1.01
0.50;0.99
0.60;0.92
0.70;1.02
0.80;1.02
0.90;1.09
1.00;0.95
1.10;1.01
1.20;0.98
1.30;0.98
1.40;1.05
1.50;1.01
1.60;0.95
1.70;1.04
1.80;0.99
1.90;1.01
2.00;0.98
2.10;0.99
2.20;1.03
2.30;1.03
2.40;1.00
2.50;0.98
2.60;0.98
2.70;0.95
2.80;1.01
2.90;1.08
3.00;0.94
3.10;1.03
3.20;0.97
3.30;1.00
3.40;1.05
3.50;1.01
3.60;0.99
3.70;0.98
3.80;1.04
3.90;0.99
4.00;0.99
4.10;1.01
4.20;1.05
4.30;0.89
4.40;1.08
4.50;1.01
4.60;0.97
4.70;0.98
4.80;1.02
4.90;1.00
5.00;0.93
5.10;1.05
5.20;1.09
5.30;0.97
5.40;0.95
5.50;1.07
5.60;1.04
5.70;0.93
5.80;0.89
5.90;1.24
6.00;0.92
6.10;1.05
6.20;0.99
6.30;1.03
6.40;0.98
6.50;1.01
6.60;0.97
6.70;1.03
6.80;0.98
6.90;1.03
7.00;0.95
7.10;1.02
7.20;1.03
7.30;1.01
7.40;1.02
7.50;1.04
7.60;0.85
7.70;1.08
7.80;0.96
7.90;1.02
8.00;0.97
8.10;1.07
8.20;0.96
8.30;1.05
8.40;1.01
8.50;0.96
8.60;1.00
8.70;1.00
8.80;0.99
8.90;1.03
9.00;0.97
9.10;0.96
9.20;1.05
9.30;0.98
9.40;1.04
9.50;0.98
9.60;1.02
9.70;0.92
9.80;1.05
9.90;0.97
10.00;1.06
10.10;0.96
10.20;1.08
10.30;0.95
10.40;1.02
10.50;0.91
10.60;1.07
10.70;1.04
10.80;1.00
10.90;0.95
11.00;0.93
11.10;1.07
11.20;1.05
11.30;1.00
11.40;0.99
11.50;0.95
11.60;1.03
11.70;1.01
11.80;0.99
11.90;0.99
12.00;0.97
12.10;1.03
12.20;1.02
12.30;1.02
12.40;1.01
12.50;0.99
12.60;0.99
12.70;0.95
12.80;0.98
12.90;1.02
13.00;1.02
13.10;1.02
13.20;1.00
13.30;0.99
13.40;1.04
13.50;0.93
13.60;1.02
13.70;0.98
13.80;1.01
13.90;1.01
14.00;1.00
14.10;1.02
14.20;1.05
14.30;0.96
14.40;1.00
14.50;0.99
14.60;0.99
14.70;1.04
14.80;0.96
14.90;1.04
15.00;0.97
15.10;1.00
15.20;1.02
15.30;1.01
15.40;0.95
15.50;1.06
15.60;0.97
15.70;1.02
15.80;1.00
15.90;0.98
16.00;1.00
16.10;1.00
16.20;1.03
16.30;1.00
16.40;1.00
16.50;1.02
16.60;0.96
16.70;1.02
16.80;0.99
16.90;1.00
17.00;1.00
17.10;1.01
17.20;1.00
17.30;1.00
17.40;1.01
17.50;1.03
17.60;0.89
17.70;1.11
17.80;0.96
17.90;1.00
18.00;0.99
18.10;1.01
18.20;1.03
18.30;0.99
18.40;1.03
18.50;1.01
18.60;0.95
18.70;0.98
18.80;1.02
18.90;0.98
19.00;1.02
19.10;0.98
19.20;1.01
19.30;1.02
19.40;1.04
19.50;0.96
19.60;0.98
19.70;0.90
19.80;1.11
19.90;0.99
20.00;1.03
20.10;0.99
20.20;0.96
20.30;1.09
20.40;1.00
20.50;0.99
20.60;1.00
20.70;0.96
20.80;1.02
20.90;1.03
21.00;0.96
21.10;1.05
21.20;1.00
21.30;0.98
21.40;1.01
21.50;1.01
21.60;0.98
21.70;0.95
21.80;1.05
21.90;0.99
22.00;0.97
22.10;1.01
22.20;1.06
22.30;1.00
22.40;0.97
22.50;1.03
22.60;0.98
22.70;0.99
22.80;0.93
22.90;1.06
23.00;1.02
23.10;1.01
23.20;1.05
23.30;0.98
23.40;0.99
23.50;1.02
23.60;0.98
23.70;1.02
23.80;0.98
23.90;1.00
24.00;1.00
24.10;0.90
24.20;1.15
24.30;1.00
24.40;0.95
24.50;1.06
24.60;0.97
24.70;0.99
24.80;1.01
24.90;0.99
25.00;1.01
25.10;1.02
25.20;0.98
25.30;1.02
25.40;1.03
25.50;0.98
25.60;0.99
25.70;1.00
25.80;0.95
25.90;1.05
26.00;0.94
26.10;1.05
26.20;1.03
26.30;0.98
26.40;0.97
26.50;1.00
26.60;1.00
26.70;0.99
26.80;1.00
26.90;0.94
27.00;1.08
27.10;0.95
27.20;0.97
27.30;1.06
27.40;1.02
27.50;0.97
27.60;0.98
27.70;0.99
27.80;1.02
27.90;0.99
28.00;1.07
28.10;1.00
28.20;0.97
28.30;1.05
28.40;0.98
28.50;1.00
28.60;1.01
28.70;1.00
28.80;0.99
28.90;0.99
29.00;1.00
29.10;1.00
29.20;1.02
29.30;0.98
29.40;0.96
29.50;1.03
29.60;0.93
29.70;1.06
29.80;1.02
29.90;0.94
30.00;1.08
30.10;0.98
30.20;0.99
30.30;0.91
30.40;1.08
30.50;1.08
30.60;0.97
30.70;1.03
30.80;0.99
30.90;1.00
31.00;1.02
31.10;0.97
31.20;1.06
31.30;1.02
31.40;0.97
31.50;0.86
31.60;1.20
31.70;0.97
31.80;1.00
31.90;1.03
32.00;0.95
32.10;1.01
32.20;0.97
32.30;1.00
32.40;1.02
