timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
0.000;f_0.0;-8.48;-0.04;-8.38
0.000;f_12.82;14.72;0.49;-44.56
0.000;f_10.79;64.70;-0.05;-6.38
0.000;f_1.79;72.70;-0.25;8.21
0.000;f_11.81;-20.42;0.08;-69.44
0.000;f_12.80;10.36;0.18;-26.23
0.000;f_10.71;18.10;0.02;30.43
0.000;f_10.72;15.99;-0.05;52.18
0.000;f_10.73;20.07;0.19;18.89
0.000;f_10.74;27.41;0.07;11.91
0.000;f_10.75;39.56;-0.02;11.97
0.000;f_12.79;10.57;1.03;-20.07
0.000;f_3.83;0.69;-0.05;67.73
0.000;f_10.82;-72.35;0.00;-63.53
0.000;f_1.78;-39.16;-0.10;9.30
0.000;f_11.72;10.10;-0.29;-27.98
0.000;f_11.73;11.08;0.04;-17.16
0.000;f_11.74;13.13;0.00;-0.34
0.000;f_11.75;24.55;0.00;5.42
0.000;f_3.82;3.27;0.13;36.75
0.000;f_10.81;-31.64;0.03;-58.24
0.000;f_10.78;74.83;0.00;2.56
0.000;f_11.79;66.00;-0.17;-10.08
0.000;f_12.76;-65.54;0.46;-34.74
0.000;f_11.82;-34.33;0.33;-68.66
0.000;f_10.77;67.45;-0.07;9.66
0.000;f_12.81;10.18;-0.08;-31.69
0.000;f_10.83;-93.11;0.05;-17.37
0.000;f_11.77;49.38;0.00;5.68
0.000;f_12.78;-63.21;0.30;-6.36
0.000;f_12.77;-64.56;0.09;-20.81
0.000;f_10.80;-23.21;-0.19;-71.80
0.000;f_11.78;64.40;0.00;2.28
0.000;f_10.76;51.05;0.00;12.10
0.000;f_11.76;37.23;0.00;5.55
0.000;f_11.80;-13.31;0.00;-65.96
0.000;f_3.81;3.87;-0.05;30.55
0.100;f_0.0;-8.48;-0.04;-8.38
0.100;f_12.82;14.64;0.45;-44.62
0.100;f_10.79;65.72;-0.05;-4.58
0.100;f_1.79;72.06;-0.23;8.23
0.100;f_11.81;-19.02;0.08;-69.36
0.100;f_12.80;10.21;1.12;-25.75
0.100;f_10.71;17.76;0.02;31.56
0.100;f_10.72;15.83;-0.04;54.19
0.100;f_10.73;19.76;0.17;19.56
0.100;f_10.74;26.41;0.06;11.90
0.100;f_10.75;38.61;-0.02;11.96
0.100;f_12.79;10.41;0.94;-19.21
0.100;f_3.83;0.85;-0.04;67.20
0.100;f_10.82;-71.11;0.00;-64.41
0.100;f_1.78;-43.58;-0.09;9.19
0.100;f_11.72;9.80;-0.17;-29.69
0.100;f_11.73;10.62;0.03;-18.60
0.100;f_11.74;12.38;0.00;-1.24
0.100;f_11.75;23.51;0.00;5.39
0.100;f_3.82;3.44;0.12;35.68
0.100;f_10.81;-29.85;0.03;-59.55
0.100;f_10.78;73.76;0.00;3.49
0.100;f_11.79;65.68;-0.16;-8.55
0.100;f_12.76;-67.59;0.41;-36.22
0.100;f_11.82;-32.87;0.30;-68.44
0.100;f_10.77;66.06;-0.06;9.90
0.100;f_12.81;9.98;-0.08;-31.20
0.100;f_10.83;-93.11;0.04;-17.93
0.100;f_11.77;48.39;0.00;5.67
0.100;f_12.78;-65.76;0.27;-6.10
0.100;f_12.77;-66.69;0.08;-21.48
0.100;f_10.80;-21.54;-0.17;-71.79
0.100;f_11.78;63.12;0.00;2.61
0.100;f_10.76;50.15;0.00;12.09
0.100;f_11.76;36.22;0.00;5.54
0.100;f_11.80;-12.60;0.00;-65.90
0.100;f_3.81;3.99;-0.04;29.37
0.200;f_0.0;-8.48;-0.04;-8.38
0.200;f_12.82;14.56;0.40;-44.66
0.200;f_10.79;66.61;-0.04;-2.96
0.200;f_1.79;71.41;-0.21;8.26
0.200;f_11.81;-17.76;0.07;-69.28
0.200;f_12.80;9.80;1.24;-25.33
0.200;f_10.71;17.45;0.01;32.70
0.200;f_10.72;15.68;-0.04;56.14
0.200;f_10.73;19.47;0.15;20.21
0.200;f_10.74;25.44;0.06;11.88
0.200;f_10.75;37.69;-0.02;11.95
0.200;f_12.79;10.31;1.00;-18.51
0.200;f_3.83;1.00;-0.04;66.66
0.200;f_10.82;-69.85;0.00;-65.19
0.200;f_1.78;-47.73;-0.08;9.08
0.200;f_11.72;9.37;-0.08;-31.58
0.200;f_11.73;10.18;-0.07;-19.90
0.200;f_11.74;11.69;0.00;-2.09
0.200;f_11.75;22.51;0.00;5.34
0.200;f_3.82;3.60;0.11;34.71
0.200;f_10.81;-28.23;0.03;-60.73
0.200;f_10.78;72.76;0.00;4.32
0.200;f_11.79;65.35;-0.14;-7.17
0.200;f_12.76;-69.37;0.37;-36.02
0.200;f_11.82;-31.52;0.27;-68.23
0.200;f_10.77;64.77;-0.05;10.11
0.200;f_12.81;9.88;-0.28;-31.35
0.200;f_10.83;-93.11;0.04;-18.50
0.200;f_11.77;47.46;0.00;5.66
0.200;f_12.78;-68.10;0.24;-5.89
0.200;f_12.77;-68.62;0.07;-22.22
0.200;f_10.80;-20.03;-0.15;-71.79
0.200;f_11.78;61.92;0.00;2.91
0.200;f_10.76;49.28;0.00;12.08
0.200;f_11.76;35.27;0.00;5.53
0.200;f_11.80;-11.96;0.00;-65.85
0.200;f_3.81;4.10;-0.04;28.30
0.300;f_0.0;-8.48;-0.04;-8.38
0.300;f_12.82;14.47;0.36;-44.71
0.300;f_10.79;67.37;-0.04;-1.49
0.300;f_1.79;70.73;-0.19;8.28
0.300;f_11.81;-16.62;0.06;-69.21
0.300;f_12.80;9.41;1.02;-24.80
0.300;f_10.71;17.17;0.01;33.84
0.300;f_10.72;15.54;-0.03;58.03
0.300;f_10.73;19.08;0.14;20.85
0.300;f_10.74;24.50;0.05;11.87
0.300;f_10.75;36.80;-0.01;11.94
0.300;f_12.79;10.11;1.38;-18.01
0.300;f_3.83;1.16;-0.04;66.09
0.300;f_10.82;-68.58;0.00;-65.90
0.300;f_1.78;-51.63;-0.07;8.99
0.300;f_11.72;8.54;-0.12;-32.75
0.300;f_11.73;9.86;0.00;-21.16
0.300;f_11.74;11.05;0.00;-2.86
0.300;f_11.75;21.53;0.00;5.28
0.300;f_3.82;3.74;0.10;33.84
0.300;f_10.81;-26.77;0.02;-61.80
0.300;f_10.78;71.81;0.00;5.08
0.300;f_11.79;65.00;-0.13;-5.93
0.300;f_12.76;-70.98;0.33;-36.00
0.300;f_11.82;-30.25;0.25;-68.03
0.300;f_10.77;63.56;-0.05;10.30
0.300;f_12.81;10.03;-0.35;-31.93
0.300;f_10.83;-93.11;0.04;-19.09
0.300;f_11.77;46.58;0.00;5.65
0.300;f_12.78;-70.04;0.22;-5.95
0.300;f_12.77;-70.37;0.07;-23.02
0.300;f_10.80;-18.67;-0.14;-71.78
0.300;f_11.78;60.80;0.00;3.17
0.300;f_10.76;48.45;0.00;12.07
0.300;f_11.76;34.35;0.00;5.52
0.300;f_11.80;-11.38;0.00;-65.80
0.300;f_3.81;4.19;-0.04;27.34
0.400;f_0.0;-8.48;-0.04;-8.38
0.400;f_12.82;14.39;0.33;-44.75
0.400;f_10.79;68.01;-0.03;-0.16
0.400;f_1.79;70.05;-0.17;8.31
0.400;f_11.81;-15.59;0.06;-69.14
0.400;f_12.80;9.32;0.86;-24.21
0.400;f_10.71;16.91;0.01;34.98
0.400;f_10.72;15.42;-0.03;59.87
0.400;f_10.73;18.62;0.12;21.50
0.400;f_10.74;23.56;0.05;11.86
0.400;f_10.75;35.93;-0.01;11.93
0.400;f_12.79;9.85;1.49;-17.47
0.400;f_3.83;1.31;-0.03;65.51
0.400;f_10.82;-67.29;0.00;-66.54
0.400;f_1.78;-55.31;-0.07;8.91
0.400;f_11.72;8.11;-0.11;-34.98
0.400;f_11.73;9.55;0.18;-22.65
0.400;f_11.74;10.35;0.00;-3.59
0.400;f_11.75;20.55;0.00;5.19
0.400;f_3.82;3.87;0.09;33.04
0.400;f_10.81;-25.45;0.02;-62.77
0.400;f_10.78;70.92;0.00;5.77
0.400;f_11.79;64.64;-0.11;-4.80
0.400;f_12.76;-71.67;0.29;-36.29
0.400;f_11.82;-29.06;0.22;-67.83
0.400;f_10.77;62.41;-0.04;10.47
0.400;f_12.81;9.98;-0.27;-31.59
0.400;f_10.83;-93.12;0.03;-19.71
0.400;f_11.77;45.73;0.00;5.64
0.400;f_12.78;-71.73;0.20;-6.24
0.400;f_12.77;-71.63;0.24;-23.28
0.400;f_10.80;-17.44;-0.13;-71.78
0.400;f_11.78;59.74;0.00;3.41
0.400;f_10.76;47.64;0.00;12.06
0.400;f_11.76;33.44;0.00;5.52
0.400;f_11.80;-10.86;0.00;-65.75
0.400;f_3.81;4.28;-0.03;26.47
0.500;f_0.0;-8.48;-0.04;-8.38
0.500;f_12.82;14.30;0.30;-44.78
0.500;f_10.79;68.56;-0.03;1.03
0.500;f_1.79;69.37;-0.15;8.35
0.500;f_11.81;-14.66;0.05;-69.08
0.500;f_12.80;9.34;0.71;-23.85
0.500;f_10.71;16.68;0.01;36.12
0.500;f_10.72;15.30;-0.03;61.66
0.500;f_10.73;18.22;0.11;22.19
0.500;f_10.74;22.68;0.04;11.85
0.500;f_10.75;35.07;-0.01;11.93
0.500;f_12.79;9.40;1.33;-17.30
0.500;f_3.83;1.46;-0.03;64.90
0.500;f_10.82;-65.98;0.00;-67.11
0.500;f_11.72;8.01;-0.10;-37.47
0.500;f_11.73;9.35;0.33;-23.93
0.500;f_11.74;9.61;0.00;-4.26
0.500;f_11.75;19.57;0.00;5.09
0.500;f_3.82;3.99;0.08;32.32
0.500;f_10.81;-24.25;0.02;-63.64
0.500;f_10.78;70.06;0.00;6.32
0.500;f_11.79;64.28;-0.10;-3.79
0.500;f_12.76;-73.13;0.28;-36.86
0.500;f_11.82;-27.96;0.20;-67.64
0.500;f_10.77;61.32;-0.04;10.63
0.500;f_12.81;9.83;-0.24;-31.06
0.500;f_10.83;-93.12;0.03;-20.34
0.500;f_11.77;44.90;0.00;5.63
0.500;f_12.78;-73.28;0.18;-6.50
0.500;f_12.77;-73.12;0.58;-22.66
0.500;f_10.80;-16.32;-0.11;-71.77
0.500;f_11.78;58.74;0.00;3.63
0.500;f_10.76;46.85;0.00;12.06
0.500;f_11.76;32.55;0.00;5.51
0.500;f_11.80;-10.39;0.00;-65.71
0.500;f_3.81;4.36;-0.03;25.69
0.600;f_0.0;-8.48;-0.04;-8.38
0.600;f_12.82;14.20;0.27;-44.78
0.600;f_10.79;69.01;-0.03;2.12
0.600;f_1.79;68.71;-0.14;8.53
0.600;f_11.81;-13.82;0.05;-69.03
0.600;f_12.80;9.68;0.20;-24.36
0.600;f_10.71;16.47;0.01;37.27
0.600;f_10.72;15.20;-0.02;63.42
0.600;f_10.73;17.87;0.10;22.90
0.600;f_10.74;21.85;0.04;11.86
0.600;f_10.75;34.26;-0.01;11.92
0.600;f_12.79;8.97;1.17;-17.02
0.600;f_3.83;1.60;-0.03;64.28
0.600;f_10.82;-64.66;0.00;-67.62
0.600;f_11.72;7.92;-0.09;-39.86
0.600;f_11.73;9.19;-0.16;-24.47
0.600;f_11.74;9.18;0.00;-4.99
0.600;f_11.75;18.60;0.00;4.97
0.600;f_3.82;4.09;0.07;31.68
0.600;f_10.81;-23.17;0.02;-64.43
0.600;f_10.78;69.20;0.03;6.38
0.600;f_11.79;63.90;-0.09;-2.87
0.600;f_12.76;-74.61;0.26;-38.57
0.600;f_11.82;-26.92;0.18;-67.46
0.600;f_10.77;60.28;-0.04;10.77
0.600;f_12.81;9.71;-0.22;-30.57
0.600;f_10.83;-93.12;0.03;-20.99
0.600;f_11.77;44.09;0.00;5.62
0.600;f_12.78;-74.69;0.16;-6.70
0.600;f_12.77;-74.65;0.50;-22.33
0.600;f_10.80;-15.32;-0.10;-71.77
0.600;f_11.78;57.77;0.00;3.82
0.600;f_10.76;46.07;0.00;12.05
0.600;f_11.76;31.67;0.00;5.50
0.600;f_11.80;-9.96;0.00;-65.68
0.600;f_3.81;4.43;-0.03;24.98
0.700;f_0.0;-8.48;-0.04;-8.38
0.700;f_12.82;14.09;0.24;-44.76
0.700;f_10.79;69.37;-0.02;3.10
0.700;f_1.79;68.05;-0.12;8.68
0.700;f_11.81;-13.05;0.04;-68.98
0.700;f_12.80;9.80;0.02;-24.72
0.700;f_10.71;16.27;0.01;38.41
0.700;f_10.72;15.11;-0.02;65.14
0.700;f_10.73;17.56;0.09;23.63
0.700;f_10.74;21.03;0.04;11.88
0.700;f_10.75;33.48;-0.01;11.91
0.700;f_12.79;8.93;1.04;-16.48
0.700;f_3.83;1.75;-0.02;63.64
0.700;f_10.82;-63.33;0.00;-68.09
0.700;f_11.83;-70.70;0.00;-72.76
0.700;f_11.72;7.85;-0.08;-42.17
0.700;f_11.73;8.97;-0.29;-24.89
0.700;f_11.74;8.96;0.00;-5.82
0.700;f_11.75;17.64;0.00;4.84
0.700;f_3.82;4.18;0.06;31.09
0.700;f_10.81;-22.20;0.02;-65.14
0.700;f_10.78;68.37;0.05;6.51
0.700;f_11.79;63.52;-0.08;-2.04
0.700;f_12.76;-75.80;0.24;-40.48
0.700;f_11.82;-25.95;0.16;-67.28
0.700;f_10.77;59.29;-0.03;10.89
0.700;f_12.81;9.60;-0.20;-30.13
0.700;f_10.83;-93.13;0.02;-21.67
0.700;f_11.77;43.28;0.00;5.61
0.700;f_12.78;-75.92;0.15;-7.02
0.700;f_12.77;-75.82;0.46;-22.99
0.700;f_10.80;-14.40;-0.09;-71.77
0.700;f_11.78;56.84;0.00;4.00
0.700;f_10.76;45.33;0.00;12.04
0.700;f_11.76;30.79;0.00;5.49
0.700;f_11.80;-9.57;0.00;-65.64
0.700;f_3.81;4.50;-0.02;24.33
0.800;f_0.0;-8.48;-0.04;-8.38
0.800;f_12.82;13.97;0.22;-44.71
0.800;f_10.79;69.65;-0.02;3.98
0.800;f_1.79;67.38;-0.10;8.81
0.800;f_11.81;-12.37;0.04;-68.94
0.800;f_12.80;9.71;-0.02;-25.08
0.800;f_10.71;16.10;0.01;39.57
0.800;f_10.72;15.02;-0.02;66.83
0.800;f_10.73;17.28;0.08;24.38
0.800;f_10.74;20.24;0.03;11.92
0.800;f_10.75;32.72;-0.01;11.90
0.800;f_12.79;8.92;0.94;-15.96
0.800;f_3.83;1.89;-0.02;62.98
0.800;f_10.82;-61.99;0.00;-68.50
0.800;f_11.83;-70.69;0.00;-72.76
0.800;f_11.73;8.71;-0.29;-25.30
0.800;f_11.74;8.76;0.00;-6.68
0.800;f_11.75;16.69;0.00;4.70
0.800;f_3.82;4.27;0.06;30.56
0.800;f_10.81;-21.03;0.20;-65.62
0.800;f_10.78;67.57;0.06;6.63
